Date,normalized_one1,normalized_one2,normalized_one3,normalized_one4,normalized_two1,normalized_two2,normalized_two3,normalized_two4,LTC_normalized_vf_us_cases1,LTC_normalized_vf_us_cases2,LTC_normalized_vf_us_deaths1,LTC_normalized_vf_us_deaths2,normalized_one_dose_one1,normalized_one_dose_one2,normalized_one_dose_one3,normalized_one_dose_one4,normalized_one_dose_two1,normalized_one_dose_two2,normalized_one_dose_two3,normalized_one_dose_two4,LTC_normalized_vf_one_dose_us_cases1,LTC_normalized_vf_one_dose_us_cases2,LTC_normalized_vf_one_dose_us_deaths1,LTC_normalized_vf_one_dose_us_deaths2,one_minus_vf_LTC,one_minus_vf_US,vf_LTC,vf_US,one_minus_vf_one_dose_LTC,one_minus_vf_one_dose_US,vf_one_dose_LTC,vf_one_dose_US,New Cases,New Deaths,sum_residents_weekly_confirmed,sum_residents_weekly_covid_19
01/29/2021,665.592543964646,9093.5711078371,152483.358632362,3551.22548906289,4991.81226220286,68199.9823689822,7558431.8241471,176030.32876506,27.7265362526307,378.810176396317,4.36890807485383e-05,0.00059689635352041,1585.70127146936,21664.4362961197,163038.324817647,3797.04290343238,932.737573206059,12743.4051414964,1795757.48269148,41821.8735598861,66.0554331443549,378.810176396317,0.000104084445537245,0.00059689635352041,0.8823502,0.98022499858734,0.1176498,0.0197750014126596,0.3703634,0.916766043610757,0.6296366,0.0832339563892431,149468,3481,587.285714285714,8023.71428571429
01/30/2021,670.907489609094,9166.18585779235,158629.477124028,2874.81727578942,4711.86341991655,64375.2179136543,7594717.73532228,137637.885127603,27.8144113379409,380.010758259983,5.4399524287549e-05,0.00074322638801617,1639.74378355223,22402.7850515676,169906.87453217,3079.19579031684,914.999017338686,12501.0544412174,1817877.70278021,32945.1141110351,67.9803233544569,380.010758259983,0.000132956157384202,0.00074322638801617,0.8753602,0.979540516788751,0.1246398,0.0204594832112488,0.358157,0.914524503071708,0.641843,0.0854754969282917,155384,2816,587.285714285714,8023.71428571429
01/31/2021,656.299163971037,9873.53595969631,115303.260282871,2109.90342011277,4410.29434827231,66349.6195500772,5425922.06102728,99287.4918344997,38.0844045938915,572.951725225732,7.25073416379222e-05,0.00109081937674936,1634.01243255051,24582.5096191807,123586.105111891,2261.46897506879,878.389470818558,13214.7205159755,1306237.43778937,23902.4883659821,94.8201582585724,572.951725225732,0.000180524224609222,0.00109081937674936,0.8704654,0.979191739444443,0.1295346,0.0208082605555569,0.3496214,0.913565484548449,0.6503786,0.0864345154515511,112904,2066,571.285714285714,8594.57142857143
02/01/2021,669.377968261943,10070.2969058702,129222.211836497,1910.75105643569,3898.43290601024,58649.0423834428,5646342.14533894,83489.9361795057,37.3270005677759,561.557141324965,8.16601199347662e-05,0.00122851616291958,1720.98269962668,25890.9130219905,138608.221980339,2049.53779087693,855.158222875574,12865.2235570493,1426260.38032381,21089.4744001463,95.9683844583294,561.557141324965,0.000209949625354531,0.00122851616291958,0.8534576,0.977626045898709,0.1465424,0.0223739541012913,0.3319532,0.911425009245985,0.6680468,0.0885749907540152,126331,1868,571.285714285714,8594.57142857143
02/02/2021,683.868200693,10288.2917454594,121702.300055409,3436.62098252318,3470.20345683983,52206.6467542881,4879969.11508008,137800.224377961,44.1239320292021,663.811952673382,4.6385632224807e-05,0.000697837560867427,1827.19747111118,27488.835773191,130682.793991844,3690.21153817681,831.150601745553,12504.0466372133,1299419.97425042,36692.9297686702,117.892800012546,663.811952673382,0.000123935737633616,0.000697837560867427,0.835374,0.975667673872552,0.164626,0.0243323261274475,0.3126568,0.908619997881365,0.6873432,0.0913800021186349,118741,3353,571.285714285714,8594.57142857143
02/03/2021,700.096977174178,10532.4416956121,122643.123371862,3682.30406692487,3104.97228818056,46712.0137038057,4471360.82885251,134250.577709517,49.2989143053813,741.665737044349,4.43181132264162e-05,0.000666733265298238,1953.76013082522,29392.8774670436,131912.913722733,3960.62531128078,807.360511361434,12146.1423067083,1255295.03360917,37689.6631491867,137.578444705754,741.665737044349,0.000123678526715918,0.000666733265298238,0.8160094,0.973303653055745,0.1839906,0.0266963469442554,0.2924032,0.904907613904282,0.7075968,0.0950923860957176,119369,3584,571.285714285714,8594.57142857143
02/04/2021,718.284686594376,10806.0623443088,130398.586328981,3570.5319140807,2791.48740836047,41995.8653317787,4323669.99294912,118389.333277203,52.3073766209274,786.925829524439,4.68928249085782e-05,0.000705467900012474,2096.49672723178,31540.2440869513,140514.703983021,3847.52817567526,785.267494234008,11813.7691893239,1276508.51249236,34952.9432086846,152.672395698423,786.925829524439,0.000136868648025354,0.000705467900012474,0.7953472,0.970723713834214,0.2046528,0.0292762861657859,0.2724954,0.900838107414691,0.7275046,0.0991618925853093,126581,3466,571.285714285714,8594.57142857143
02/05/2021,736.159917423438,11074.9819835031,132064.977062737,3525.76846798071,2550.77893478859,38374.5842147415,3997019.51073959,106709.331045238,57.9902217482476,872.420035213322,4.86699707904332e-05,0.000732203746610163,2281.33394199331,34320.9834004004,142543.762340899,3805.52296109612,762.138441161407,11465.8096767073,1239422.6811877,33089.1467595968,179.709677268261,872.420035213322,0.00015082654419525,0.000732203746610163,0.7760348,0.968015917946734,0.2239652,0.0319840820532659,0.2504174,0.896854396857177,0.7495826,0.103145603142823,127841,3413,571.285714285714,8594.57142857143
02/06/2021,745.695162800974,11218.4327042841,112541.33326387,2809.21504264129,2442.55685312189,36746.4629651211,3279108.74128903,81851.8968571967,71.6018720874687,1077.19725644568,6.18755465965297e-05,0.000930871876554244,2397.4368827829,36067.6663520843,121662.265117158,3036.88836249691,750.004416755193,11283.2622457679,1029749.75311354,25704.2316161311,230.202605008204,1077.19725644568,0.000198932117241674,0.000930871876554244,0.7661116,0.966818117792206,0.2338884,0.033181882207794,0.2382902,0.894336464105952,0.7617098,0.105663535894048,108807,2716,571.285714285714,8594.57142857143
02/07/2021,853.007773529654,12174.1314600708,94083.3975334329,1590.47714484037,2688.83026807869,38374.9998220496,2704074.46845823,45712.3015620359,99.3237737030424,1417.54942416023,0.000125016767132501,0.00178423996241719,2788.18434763867,39792.9817715605,101755.85276068,1720.1797810511,843.472682537871,12038.0465909525,853799.173662837,14433.4506150438,324.654709817368,1417.54942416023,0.000408636127510167,0.00178423996241719,0.7591624,0.966376665635307,0.2408376,0.0336233343646927,0.2322556,0.89351125791098,0.7677444,0.10648874208902,90920,1537,647.571428571429,9242.14285714286
