Date,New Cases,New Deaths,sum_residents_weekly_confirmed,sum_residents_weekly_covid_19,sum_staff_weekly_confirmed_covid,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Daily Count of People Fully Vaccinated
03/24/2021,66816,1109,582,13213.7142857143,1190.42857142857,7194,2910,4224,4601
03/25/2021,68370,1056,582,13213.7142857143,1190.42857142857,7602,3106,4405,4673
03/26/2021,71350,1180,582,13213.7142857143,1190.42857142857,6791,3097,3578,3776
03/27/2021,63303,751,582,13213.7142857143,1190.42857142857,1595,394,1186,1201
03/28/2021,47406,509,509.714285714286,13715.2857142857,1096,1022,269,746,746
03/29/2021,61570,613,509.714285714286,13715.2857142857,1096,4128,1901,2151,2253
03/30/2021,62884,710,509.714285714286,13715.2857142857,1096,3939,1824,2090,2541
03/31/2021,69520,937,509.714285714286,13715.2857142857,1096,3914,2166,1678,2209
04/01/2021,75610,773,509.714285714286,13715.2857142857,1096,4378,2183,1300,1709
04/02/2021,65701,817,509.714285714286,13715.2857142857,1096,4880,1262,1349,1625
04/03/2021,68452,691,509.714285714286,13715.2857142857,1096,1184,248,366,366
04/04/2021,41389,368,444,14159.2857142857,990,195,86,93,94
04/05/2021,62504,344,444,14159.2857142857,990,2661,1771,869,1107
04/06/2021,61448,708,444,14159.2857142857,990,2866,1640,1222,1611
04/07/2021,75306,773,444,14159.2857142857,990,2093,1289,797,1161
04/08/2021,75956,940,444,14159.2857142857,990,51,6,44,44
